date,trades,net_pnl,cumulative_pnl,capital
2022-07-22,4,-1.647320263899666e-38,-99999.99999999978,2.8861860941843735e-37
2022-07-25,4,-3.988589645752935e-39,-99999.99999999978,2.846300197726844e-37
2022-07-26,1,-4.1841024503385186e-39,-99999.99999999978,2.804459173223459e-37
2022-07-27,1,-4.049388354622586e-39,-99999.99999999978,2.763965289677233e-37
2022-07-28,7,-7.555804964436732e-39,-99999.99999999978,2.688407240032866e-37
2022-07-29,7,-2.5759932463270387e-38,-99999.99999999978,2.4308079154001618e-37
2022-08-01,3,-1.0233920853496196e-38,-99999.99999999978,2.3284687068652e-37
2022-08-02,2,-1.369336557653029e-39,-99999.99999999978,2.31477534128867e-37
2022-08-04,2,-6.35803780807652e-39,-99999.99999999978,2.251194963207905e-37
2022-08-05,1,-3.033079797590804e-39,-99999.99999999978,2.220864165231997e-37
2022-08-08,5,-1.3651299950188203e-38,-99999.99999999978,2.084351165730115e-37
2022-08-10,5,-1.4328044147126746e-38,-99999.99999999978,1.9410707242588475e-37
2022-08-11,12,-1.0516629878635479e-38,-99999.99999999978,1.8359044254724929e-37
2022-08-12,8,-1.1468907446169965e-38,-99999.99999999978,1.7212153510107933e-37
2022-08-15,2,8.412575313263149e-39,-99999.99999999978,1.8053411041434249e-37
2022-08-16,6,-1.4016900574359198e-38,-99999.99999999978,1.6651720983998327e-37
2022-08-17,4,-8.317550962438237e-39,-99999.99999999978,1.5819965887754502e-37
2022-08-18,3,-6.161701925664878e-39,-99999.99999999978,1.5203795695188012e-37
2022-08-19,13,-6.173588304044392e-39,-99999.99999999978,1.4586436864783572e-37
2022-08-22,10,3.900665687298347e-39,-99999.99999999978,1.4976503433513408e-37
2022-08-23,10,-1.0070121013122061e-38,-99999.99999999978,1.3969491332201202e-37
2022-08-24,11,-1.855686621957469e-38,-99999.99999999978,1.2113804710243734e-37
2022-08-25,5,4.607358635625522e-39,-99999.99999999978,1.2574540573806288e-37
2022-08-26,11,-1.688959881743592e-38,-99999.99999999978,1.0885580692062694e-37
2022-08-29,11,-1.502481431078343e-38,-99999.99999999978,9.38309926098435e-38
2022-08-30,6,-3.914806329616381e-39,-99999.99999999978,8.991618628022712e-38
2022-08-31,5,-5.7011322410113246e-39,-99999.99999999978,8.42150540392158e-38
2022-09-01,12,-1.290826092306233e-38,-99999.99999999978,7.130679311615348e-38
2022-09-02,14,-1.2564474187994816e-38,-99999.99999999978,5.874231892815867e-38
2022-09-05,13,-9.589454705584973e-39,-99999.99999999978,4.915286422257369e-38
2022-09-06,3,-9.287011913579083e-40,-99999.99999999978,4.822416303121579e-38
2022-09-07,2,-8.384392995231903e-40,-99999.99999999978,4.738572373169259e-38
2022-09-08,6,-2.127899125449693e-39,-99999.99999999978,4.52578246062429e-38
2022-09-09,3,-1.7993414502987244e-39,-99999.99999999978,4.345848315594417e-38
2022-09-12,7,7.497060660813955e-40,-99999.99999999978,4.4208189222025574e-38
2022-09-13,2,-1.2084816836649376e-39,-99999.99999999978,4.299970753836063e-38
2022-09-14,9,-1.621951100738906e-39,-99999.99999999978,4.137775643762173e-38
2022-09-15,4,-2.1617228711921548e-39,-99999.99999999978,3.9216033566429575e-38
2022-09-16,11,9.398101192945104e-41,-99999.99999999978,3.9310014578359024e-38
2022-09-19,10,-1.603201982563116e-39,-99999.99999999978,3.77068125957959e-38
2022-09-20,6,6.837006572137151e-40,-99999.99999999978,3.839051325300961e-38
2022-09-21,4,-2.1440173048257754e-39,-99999.99999999978,3.624649594818384e-38
2022-09-22,12,-7.634024482368055e-40,-99999.99999999978,3.5483093499947037e-38
2022-09-23,8,-1.1918144902861977e-39,-99999.99999999978,3.429127900966084e-38
2022-09-26,8,-2.3325731464781398e-39,-99999.99999999978,3.1958705863182704e-38
2022-09-27,6,-2.535422780875377e-39,-99999.99999999978,2.9423283082307324e-38
2022-09-28,10,-3.796902540533449e-39,-99999.99999999978,2.5626380541773877e-38
